기상청행정구역코드,특보구역코드,지점소,예보구역코드,지점번호,1단계,2단계,3단계,격자 X,격자 Y,경도(시),위도(시),경도(초/100),위도(초/100)
11B10101,L1100000,108,11B10101,109,서울특별시,,,60,127,126,37,126.98,37.56
11B10101,L1100000,108,11B10101,109,서울특별시,종로구,,60,127,126,37,126.98,37.57
11B10101,L1100000,108,11B10101,109,서울특별시,종로구,청운효자동,60,127,126,37,126.97,37.58
11B10101,L1100000,108,11B10101,109,서울특별시,종로구,사직동,60,127,126,37,126.97,37.57
11B10101,L1100000,108,11B10101,109,서울특별시,종로구,삼청동,60,127,126,37,126.98,37.58
11B10101,L1100000,108,11B10101,109,서울특별시,종로구,부암동,60,127,126,37,126.97,37.59
11B10101,L1100000,108,11B10101,109,서울특별시,종로구,평창동,60,127,126,37,126.97,37.6
11B10101,L1100000,108,11B10101,109,서울특별시,종로구,무악동,60,127,126,37,126.96,37.57
11B10101,L1100000,108,11B10101,109,서울특별시,종로구,교남동,60,127,126,37,126.96,37.57
11B10101,L1100000,108,11B10101,109,서울특별시,종로구,가회동,60,127,126,37,126.99,37.58
11B10101,L1100000,108,11B10101,109,서울특별시,종로구,종로1.2.3.4가동,60,127,126,37,126.99,37.57
11B10101,L1100000,108,11B10101,109,서울특별시,종로구,종로5.6가동,60,127,127,37,127.01,37.57
11B10101,L1100000,108,11B10101,109,서울특별시,종로구,이화동,60,127,127,37,127.01,37.57
11B10101,L1100000,108,11B10101,109,서울특별시,종로구,혜화동,60,127,127,37,127,37.58
11B10101,L1100000,108,11B10101,109,서울특별시,종로구,창신제1동,61,127,127,37,127.02,37.57
11B10101,L1100000,108,11B10101,109,서울특별시,종로구,창신제2동,60,127,127,37,127.01,37.57
11B10101,L1100000,108,11B10101,109,서울특별시,종로구,창신제3동,60,127,127,37,127.02,37.58
11B10101,L1100000,108,11B10101,109,서울특별시,종로구,숭인제1동,60,127,127,37,127.02,37.58
11B10101,L1100000,108,11B10101,109,서울특별시,종로구,숭인제2동,61,127,127,37,127.02,37.57
11B10101,L1100000,108,11B10101,109,서울특별시,중구,,60,127,126,37,127,37.56
11B10101,L1100000,108,11B10101,109,서울특별시,중구,소공동,60,127,126,37,126.98,37.56
11B10101,L1100000,108,11B10101,109,서울특별시,중구,회현동,60,126,126,37,126.98,37.55
11B10101,L1100000,108,11B10101,109,서울특별시,중구,명동,60,127,126,37,126.99,37.56
11B10101,L1100000,108,11B10101,109,서울특별시,중구,필동,60,127,126,37,127,37.56
11B10101,L1100000,108,11B10101,109,서울특별시,중구,장충동,60,127,127,37,127.01,37.56
11B10101,L1100000,108,11B10101,109,서울특별시,중구,광희동,60,127,127,37,127.01,37.56
11B10101,L1100000,108,11B10101,109,서울특별시,중구,을지로동,60,127,126,37,126.99,37.56
11B10101,L1100000,108,11B10101,109,서울특별시,중구,신당동,60,127,127,37,127.02,37.56
11B10101,L1100000,108,11B10101,109,서울특별시,중구,다산동,60,126,127,37,127.01,37.55
11B10101,L1100000,108,11B10101,109,서울특별시,중구,약수동,60,126,127,37,127.01,37.55
11B10101,L1100000,108,11B10101,109,서울특별시,중구,청구동,60,126,127,37,127.02,37.55
11B10101,L1100000,108,11B10101,109,서울특별시,중구,신당제5동,61,127,127,37,127.02,37.56
11B10101,L1100000,108,11B10101,109,서울특별시,중구,동화동,61,127,127,37,127.02,37.56
11B10101,L1100000,108,11B10101,109,서울특별시,중구,황학동,61,127,127,37,127.02,37.56
11B10101,L1100000,108,11B10101,109,서울특별시,중구,중림동,60,126,126,37,126.97,37.55
11B10101,L1100000,108,11B10101,109,서울특별시,용산구,,60,126,126,37,126.97,37.54
